timestamp,target_yaw_angle,current_yaw_angle,frequency
1747156814674336,58225,58204,0.122947
1747156814774336,58434,58387,0.123111
1747156814874336,58705,58655,0.123277
1747156814974336,58964,58901,0.123441
1747156815074336,59233,59187,0.123606
1747156815174336,59509,59449,0.123771
1747156815274336,59762,59668,0.123937
1747156815374336,60074,60041,0.124102
1747156815474336,60330,60258,0.124268
1747156815574336,60639,60562,0.124434
1747156815672336,60861,60891,0.124597
1747156815774336,61158,61067,0.124767
1747156815873336,61442,61389,0.124933
1747156815974336,61664,61655,0.125101
1747156816074336,61919,61867,0.125268
1747156816174336,62111,62037,0.125436
1747156816274336,62326,62298,0.125604
1747156816372336,62482,62470,0.125768
1747156816474336,62634,62615,0.12594
1747156816574336,62772,62749,0.126108
1747156816673336,62862,62831,0.126275
1747156816773336,62942,62923,0.126444
1747156816873336,62982,62982,0.126613
1747156816973336,62999,63014,0.126782
1747156817074336,62985,63010,0.126954
1747156817173336,62947,62962,0.127122
1747156817273336,62868,62896,0.127291
1747156817373336,62778,62818,0.127462
1747156817473336,62638,62685,0.127632
1747156817573336,62515,62518,0.127803
1747156817673336,62301,62340,0.127974
1747156817774336,62097,62127,0.128147
1747156817874336,61895,61956,0.128318
1747156817973336,61626,61687,0.128488
1747156818073336,61390,61432,0.128659
1747156818173336,61086,61137,0.128832
1747156818272336,60855,60893,0.129002
1747156818373336,60529,60540,0.129176
1747156818473336,60195,60245,0.129349
1747156818574336,59919,60025,0.129524
1747156818673336,59582,59621,0.129695
1747156818773336,59309,59392,0.129868
1747156818873336,58984,59078,0.130042
1747156818972336,58726,58745,0.130214
1747156819073336,58452,58516,0.13039
1747156819173336,58170,58221,0.130564
1747156819274336,57955,57981,0.130741
1747156819373336,57718,57762,0.130914
1747156819473336,57545,57591,0.131089
1747156819573336,57363,57387,0.131264
1747156819673336,57227,57253,0.13144
1747156819773336,57131,57154,0.131615
1747156819874336,57049,57052,0.131793
1747156819973336,57011,57022,0.131968
1747156820073336,57001,56996,0.132144
1747156820173336,57019,56998,0.132321
1747156820273336,57088,57047,0.132498
1747156820373336,57181,57158,0.132675
1747156820473336,57293,57263,0.132852
1747156820573336,57465,57429,0.13303
1747156820673336,57631,57588,0.133206
1747156820774336,57866,57800,0.133386
1747156820872336,58056,58034,0.133561
1747156820973336,58341,58286,0.133741
1747156821073336,58651,58596,0.13392
1747156821173336,58919,58833,0.134099
1747156821273336,59262,59200,0.134278
1747156821373336,59551,59465,0.134458
1747156821473336,59911,59867,0.134638
1747156821572336,60208,60134,0.134816
1747156821673336,60535,60465,0.134998
1747156821773336,60889,60865,0.135178
1747156821873336,61169,61081,0.135359
