timestamp,target_yaw_angle,current_yaw_angle
7152050,30000,29996
7162050,30000,29997
7172050,30000,29997
7182050,30000,29997
7192050,30000,29997
7202050,30000,29997
7212050,30000,29997
7222050,30000,29998
7232050,30000,29998
7242050,30000,29997
7252050,30000,29998
7262050,30000,29998
7272050,30000,29998
7282050,30000,29998
7292050,30000,29998
7302050,30000,29997
7312050,30000,29998
7322050,30000,29998
7332050,30000,29998
7342050,30000,29998
7352050,30000,29998
7362050,30000,29998
7372050,30000,29998
7382050,30000,29998
7392050,30000,29999
7402050,30000,29999
7412050,30000,29998
7422050,30000,29999
7432050,30000,29999
7442050,30000,29999
7452050,30000,29999
7462050,30000,29999
7472050,30000,29999
7482050,30000,29998
7492050,30000,29999
7502050,30000,29998
7512050,30000,29999
7522050,30000,29999
7532050,30000,29999
7542050,30000,29999
7552050,30000,29999
7562050,30000,29999
7572050,30000,29999
7582050,30000,29999
7592050,30000,29999
7602050,30000,30000
7612050,30000,29999
7622050,30000,30000
7632050,30000,30000
7642050,30000,29999
7652050,30000,29999
7662050,30000,29999
7672050,30000,30000
7682050,30000,29999
7692050,30000,30000
7702050,30000,30000
7712050,30000,30000
7722050,30000,30000
7732050,30000,30000
7742050,30000,30000
7752050,30000,30000
7762050,30000,30000
7772050,30000,30000
7782050,30000,30000
7792050,30000,30000
7802050,30000,30000
7812050,30000,30000
7822050,30000,30000
7832050,30000,30000
7842050,30000,30000
7852050,30000,30000
7862050,30000,30000
7872050,30000,30000
7882050,30000,30000
7892050,30000,30000
7902050,30000,30000
7912050,30000,30000
7922050,30000,30000
7932050,30000,30000
7942050,30000,30000
7952050,30000,30000
7962050,30000,30000
7972050,30000,30000
7982050,30000,30000
7992050,30000,30000
8002050,30000,30000
8012050,30000,30000
8022050,30000,30000
8032050,30000,30000
8042050,30000,30000
8052050,30000,30000
8062050,30000,30000
8072050,30000,30000
8082050,30000,30000
8092050,30000,30000
8102050,30000,30000
8112050,30000,30000
8122050,30000,30000
8132050,30000,30000
8142050,30000,30000
8152050,30000,30000
8162050,30000,30000
8172050,30000,30000
8182050,30000,30000
8192050,30000,30000
8202050,30000,30000
8212050,30000,30000
8222050,30000,30000
8232050,30000,30000
8242050,30000,30000
8252050,30000,30000
8262050,30000,30000
8272050,30000,30000
8282050,30000,30000
8292050,30000,30000
8302050,30000,30000
8312050,30000,30000
8322050,30000,30000
8332050,30000,30000
8342050,30000,30000
8352050,30000,30000
8362050,30000,30000
8372050,30000,30000
8382050,30000,30000
8392050,30000,30000
8402050,30000,30000
8412050,30000,30000
8422050,30000,30000
8432050,30000,30000
8442050,30000,30000
8452050,30000,30000
8462050,30000,30000
8472050,30000,30000
8482050,30000,30000
8492050,30000,30000
8502050,30000,30000
8512050,30000,30000
8522050,30000,30000
8532050,30000,30000
8542050,30000,30000
8552050,30000,30001
8562050,30000,30000
8572050,30000,30000
8582050,30000,30000
8592050,30000,30000
8602050,30000,30000
8612050,30000,30000
8622050,30000,30000
8632050,30000,30000
8642050,30000,30000
8652050,30000,30000
8662050,30000,30000
8672050,30000,30000
8682050,30000,30000
8692050,30000,30000
8702050,30000,30000
8712050,30000,30000
8722050,30000,30000
8732050,30000,30001
8742050,30000,30000
8752050,30000,30000
8762050,30000,30001
8772050,30000,30001
8782050,30000,30000
8792050,30000,30000
8802050,30000,30000
8812050,30000,30000
8822050,30000,30001
8832050,30000,30000
8842050,30000,30000
8852050,30000,30000
8862050,30000,30000
8872050,30000,30000
8882050,30000,30000
8892050,30000,30000
8902050,30000,30000
8912050,30000,30000
8922050,30000,30000
8932050,30000,30000
8942050,30000,30000
8952050,30000,30001
8962050,30000,30001
8972050,30000,30000
8982050,30000,30000
8994050,59383,30000
9003050,59383,30131
9012050,59383,30489
9022050,59383,30930
9032050,59383,31363
9042050,59383,31802
9052050,59383,32218
9062050,59383,32624
9072050,59383,33021
9082050,59383,33430
9092050,59383,33840
9102050,59383,34268
9112050,59383,34688
9122050,59383,35116
9132050,59383,35555
9142050,59383,35988
9152050,59383,36396
9162050,59383,36798
9172050,59383,37202
9182050,59383,37601
9192050,59383,38027
9202050,59383,38442
9212050,59383,38880
9222050,59383,39309
9232050,59383,39756
9242050,59383,40179
9252050,59383,40587
9262050,59383,40989
9272050,59383,41384
9282050,59383,41803
9292050,59383,42218
9302050,59383,42648
9312050,59383,43066
9322050,59383,43504
9332050,59383,43942
9342050,59383,44368
9352050,59383,44767
9362050,59383,45175
9372050,59383,45568
9382050,59383,45984
9392050,59383,46404
9402050,59383,46834
9412050,59383,47276
9422050,59383,47702
9432050,59383,48147
9442050,59383,48556
9452050,59383,48966
9462050,59383,49363
9472050,59383,49769
9482050,59383,50181
9492050,59383,50607
9502050,59383,51028
9512050,59383,51454
9522050,59383,51890
9532050,59383,52324
9542050,59383,52738
9552050,59383,53140
9562050,59383,53546
9572050,59383,53944
9582050,59383,54369
9592050,59383,54784
9602050,59383,55221
9612050,59383,55647
9622050,59383,56095
9632050,59383,56522
9642050,59383,56931
9652050,59383,57334
9662050,59383,57731
9673050,59383,58187
9682050,59383,58560
9692050,59383,58989
9702050,59383,59410
9712050,59383,59845
9722050,59383,60279
9732050,59383,60714
9742050,59383,61092
9752050,59383,61340
9762050,59383,61316
9772050,59383,60995
9782050,59383,60603
9792050,59383,60173
9802050,59383,59755
9812050,59383,59409
9822050,59383,59304
9832050,59383,59348
9842050,59383,59386
9852050,59383,59377
9862050,59383,59381
9872050,59383,59378
9882050,59383,59379
9892050,59383,59379
9902050,59383,59379
9912050,59383,59379
9922050,59383,59379
9932050,59383,59379
9942050,59383,59380
9952050,59383,59380
9962050,59383,59381
9972050,59383,59381
9982050,59383,59381
9992050,59383,59381
10002050,59383,59381
10012050,59383,59382
10022050,59383,59382
10032050,59383,59381
10042050,59383,59381
10052050,59383,59381
10062050,59383,59381
10072050,59383,59381
10082050,59383,59381
10092050,59383,59381
10102050,59383,59381
10112050,59383,59381
10122050,59383,59381
10132050,59383,59381
10142050,59383,59381
10152050,59383,59382
10162050,59383,59382
10172050,59383,59382
10182050,59383,59383
10192050,59383,59383
10202050,59383,59383
10212050,59383,59383
10222050,59383,59383
10232050,59383,59383
10242050,59383,59383
10252050,59383,59382
10262050,59383,59382
10272050,59383,59382
10282050,59383,59382
10292050,59383,59382
10302050,59383,59382
10312050,59383,59382
10322050,59383,59383
10332050,59383,59383
10342050,59383,59383
10352050,59383,59383
10362050,59383,59383
10372050,59383,59383
10382050,59383,59383
10392050,59383,59383
10402050,59383,59383
10412050,59383,59383
10422050,59383,59383
10432050,59383,59383
10442050,59383,59383
10452050,59383,59383
10462050,59383,59383
10472050,59383,59383
10482050,59383,59383
10492050,59383,59383
10502050,59383,59383
10512050,59383,59383
10522050,59383,59383
10532050,59383,59383
10542050,59383,59383
10552050,59383,59383
10562050,59383,59383
10572050,59383,59383
10582050,59383,59383
10592050,59383,59383
10602050,59383,59383
10612050,59383,59383
10622050,59383,59383
10632050,59383,59384
10642050,59383,59383
10652050,59383,59383
10662050,59383,59383
10672050,59383,59383
10682050,59383,59383
10692050,59383,59383
10702050,59383,59383
10712050,59383,59383
10722050,59383,59383
10732050,59383,59383
10742050,59383,59383
10752050,59383,59383
10762050,59383,59383
10772050,59383,59383
10782050,59383,59383
10792050,59383,59383
10802050,59383,59383
10812050,59383,59384
10822050,59383,59384
10832050,59383,59384
10842050,59383,59384
10852050,59383,59383
10862050,59383,59383
10872050,59383,59383
10882050,59383,59383
10892050,59383,59383
10902050,59383,59383
10912050,59383,59383
10922050,59383,59383
10932050,59383,59383
10942050,59383,59383
10952050,59383,59383
10962050,59383,59383
10972050,59383,59383
10982050,59383,59383
10992050,59383,59383
11002050,59383,59383
11012050,59383,59384
11022050,59383,59384
11032050,59383,59384
11042050,59383,59384
11052050,59383,59383
11062050,59383,59383
11072050,59383,59383
11082050,59383,59383
